,x,y,power,speed,spot_diameter,laser_current,signal,ID1,ID2,C1,C2,delta,scan_number,in_control
35,-20.411151885986328,-80.23353576660156,4800.0,1500.0,100.0,4527.0,1552.0,1.0,0.0,0.0,20.0,0.015043378807604313,0.0,1.0
36,-20.426122665405273,-80.23540496826172,4800.0,1500.0,100.0,4525.0,1539.0,1.0,0.0,0.0,20.0,0.015087018720805645,0.0,1.0
37,-20.440719604492188,-80.23727416992188,4800.0,1500.0,100.0,4526.0,1559.0,1.0,0.0,0.0,20.0,0.0147161316126585,0.0,1.0
38,-20.45606231689453,-80.23876953125,4800.0,1500.0,100.0,4527.0,1585.0,1.0,0.0,0.0,20.0,0.015415412373840809,0.0,1.0
39,-20.470659255981445,-80.24026489257812,4800.0,1500.0,100.0,4526.0,1597.0,1.0,0.0,0.0,20.0,0.014673333615064621,0.0,1.0
40,-20.48563003540039,-80.24214172363281,4800.0,1500.0,100.0,4527.0,1504.0,1.0,0.0,0.0,20.0,0.015087965875864029,0.0,1.0
41,-20.500598907470703,-80.24363708496094,4800.0,1500.0,100.0,4529.0,1445.0,1.0,0.0,0.0,20.0,0.015043378807604313,0.0,1.0
42,-20.51556968688965,-80.24513244628906,4800.0,1500.0,100.0,4526.0,1421.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
43,-20.530914306640625,-80.24662780761719,4800.0,1500.0,100.0,4528.0,1445.0,1.0,0.0,0.0,20.0,0.015417310409247875,0.0,1.0
44,-20.545509338378906,-80.24775695800781,4800.0,1500.0,100.0,4527.0,1437.0,1.0,0.0,0.0,20.0,0.014638645574450493,0.0,1.0
45,-20.560104370117188,-80.24925231933594,4800.0,1500.0,100.0,4528.0,1437.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
46,-20.5747013092041,-80.25074768066406,4800.0,1500.0,100.0,4527.0,1460.0,1.0,0.0,0.0,20.0,0.014673333615064621,0.0,1.0
47,-20.58892250061035,-80.25224304199219,4800.0,1500.0,100.0,4523.0,1445.0,1.0,0.0,0.0,20.0,0.01429959386587143,0.0,1.0
48,-20.6031436920166,-80.25373840332031,4800.0,1500.0,100.0,4525.0,1397.0,1.0,0.0,0.0,20.0,0.01429959386587143,0.0,1.0
49,-20.61736488342285,-80.25524139404297,4800.0,1500.0,100.0,4525.0,1380.0,1.0,0.0,0.0,20.0,0.014300393871963024,0.0,1.0
50,-20.631587982177734,-80.25636291503906,4800.0,1500.0,100.0,4531.0,1397.0,1.0,0.0,0.0,20.0,0.014267247170209885,0.0,1.0
