,x,y,power,speed,spot_diameter,laser_current,signal,ID1,ID2,C1,C2,delta,scan_number
38,-22.285030364990234,-83.4442367553711,4800.0,1500.0,100.0,2004.0,620.0,1.0,0.0,0.0,20.0,0.008205916732549667,11.0
39,-22.293262481689453,-83.43787384033203,4800.0,1500.0,100.0,3678.0,800.0,1.0,0.0,0.0,20.0,0.010404539294540882,11.0
40,-22.30224609375,-83.42926788330078,4800.0,1500.0,100.0,4183.0,1073.0,1.0,0.0,0.0,20.0,0.012440569698810577,11.0
41,-27.10651206970215,-80.18038940429688,4800.0,1500.0,100.0,0.0,539.0,1.0,0.0,0.0,20.0,5.799670696258545,12.0
42,-27.103893280029297,-80.18525695800781,4800.0,1500.0,100.0,2113.0,958.0,1.0,0.0,0.0,20.0,0.005527308210730553,12.0
43,-27.097904205322266,-80.19123840332031,4800.0,1500.0,100.0,3509.0,1308.0,1.0,0.0,0.0,20.0,0.008464437909424305,12.0
44,-27.089296340942383,-80.19947814941406,4800.0,1500.0,100.0,4200.0,1172.0,1.0,0.0,0.0,20.0,0.011915902607142925,12.0
45,-22.502843856811523,-83.75598907470703,4800.0,1500.0,100.0,0.0,446.0,1.0,0.0,0.0,20.0,5.803819179534912,13.0
46,-22.510704040527344,-83.75224304199219,4800.0,1500.0,100.0,2356.0,446.0,1.0,0.0,0.0,20.0,0.008707195520401001,13.0
47,-22.518936157226562,-83.74551391601562,4800.0,1500.0,100.0,3621.0,759.0,1.0,0.0,0.0,20.0,0.010632445104420185,13.0
48,-22.52791976928711,-83.73690032958984,4800.0,1500.0,100.0,4238.0,958.0,1.0,0.0,0.0,20.0,0.012445849366486073,13.0
49,-27.751346588134766,-80.18038940429688,4800.0,1500.0,100.0,0.0,539.0,1.0,0.0,0.0,20.0,6.319252967834473,14.0
50,-27.744985580444336,-80.18525695800781,4800.0,1500.0,100.0,2208.0,645.0,1.0,0.0,0.0,20.0,0.0080097122117877,14.0
51,-27.736003875732422,-80.19161987304688,4800.0,1500.0,100.0,3749.0,942.0,1.0,0.0,0.0,20.0,0.011007166467607021,14.0
52,-27.72552490234375,-80.19947814941406,4800.0,1500.0,100.0,4212.0,973.0,1.0,0.0,0.0,20.0,0.01309814490377903,14.0
53,-22.732261657714844,-84.0625,4800.0,1500.0,100.0,0.0,620.0,1.0,0.0,0.0,20.0,6.3131303787231445,15.0
