fraction,best_model,roc_auc,accuracy,balanced_accuracy,mcc,f1,precision,recall
20%,WeightedEnsemble_L2,0.7700673842563461,0.9419731026050974,0.5801351994203578,0.3488397622857333,0.2715466351829988,0.8156028368794326,0.16288951841359772
30%,WeightedEnsemble_L2,0.7573492114052602,0.9414625023377595,0.5742565893974954,0.33591767702119296,0.25476190476190474,0.816793893129771,0.15091678420310295
50%,WeightedEnsemble_L2,0.7761784393428095,0.9375832223701731,0.5728389065003238,0.32407622094558997,0.25,0.78125,0.1488095238095238
70%,WeightedEnsemble_L2,0.7715848533079432,0.9368617546941913,0.5903674051599792,0.36520044264396884,0.29963459196102316,0.7987012987012987,0.18440779610194902
100%,WeightedEnsemble_L3,0.7864527791223798,0.9377291381668946,0.59715418624288,0.37941513834895135,0.31774580335731417,0.8006042296072508,0.19820493642483172
